case_uid,status,execution_time_ms,edge_coverage,depth,operators,input_shape,error_message,physical_duration_ms
fuzz_pt_4e5460fc,Success,1062.39,2365,2,"AvgPool2d,ReLU","[1, 6, 32, 256]",,2931.5575
fuzz_pt_9b7f981d,Crash,14.35,2004,1,Linear,"[64, 1771]",mat1 and mat2 shapes cannot be multiplied (64x1771 and 937x232),3306.902900000001
fuzz_pt_f1170952,Crash,8.44,3686,5,"ReLU,ReLU,MaxPool2d,Linear,AvgPool2d","[16, 44, 16, 256]",mat1 and mat2 shapes cannot be multiplied (5632x128 and 970x367),3667.7716
fuzz_pt_e363ed65,Crash,8.39,5357,6,"ReLU,ReLU,Conv2d,Linear,AvgPool2d,BatchNorm2d","[4, 18, 16, 32]","Given groups=1, weight of size [47, 45, 1, 1], expected input[4, 18, 16, 32] to have 45 channels, but got 18 channels instead",3411.908499999999
fuzz_pt_2326043a,Crash,1.0,4051,6,"Flatten,BatchNorm2d,ReLU,MaxPool2d,Conv2d,MaxPool2d","[4, 34, 128, 128]",expected 4D input (got 2D input),3389.3646000000003
fuzz_pt_8534ec88,Crash,2.22,2964,4,"ReLU,Flatten,MaxPool2d,AvgPool2d","[1, 3506]",non-empty 3D or 4D (batch mode) tensor expected for input,3469.3264999999974
fuzz_pt_056c7216,Success,22.08,1679,1,MaxPool2d,"[16, 63, 256, 128]",,3669.9273999999987
fuzz_pt_72134c22,Crash,26.0,3393,3,"ReLU,ReLU,Conv2d","[128, 41, 32, 128]","Given groups=1, weight of size [33, 5, 5, 5], expected input[128, 41, 32, 128] to have 5 channels, but got 41 channels instead",6808.734800000004
fuzz_pt_fde37e61,Crash,1.0,2914,3,"BatchNorm2d,AvgPool2d,ReLU","[256, 2324]",expected 4D input (got 2D input),3434.1963999999975
fuzz_pt_2dfc097d,Crash,1.51,1906,3,"ReLU,Flatten,BatchNorm2d","[128, 23, 64, 16]",expected 4D input (got 2D input),3500.368200000004
fuzz_pt_860c6f09,Crash,1.0,1641,2,"ReLU,Linear","[16, 50000]",mat1 and mat2 shapes cannot be multiplied (16x50000 and 972x602),3454.1425999999974
fuzz_pt_6a424df5,Crash,1.0,1782,1,Linear,"[1, 5, 128, 256]",mat1 and mat2 shapes cannot be multiplied (640x256 and 196x308),3485.033900000005
fuzz_pt_3facdad4,Crash,1.0,2306,2,"Flatten,Conv2d","[16, 29, 256, 32]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [16, 237568]",15015.822100000001
fuzz_pt_eb1d92d1,Success,1324.85,1800,1,Flatten,"[256, 2377]",,3158.1148
fuzz_pt_bb1b3d97,Crash,80.34,2838,4,"Flatten,ReLU,BatchNorm2d,AvgPool2d","[16, 51, 1024, 256]",expected 4D input (got 2D input),3745.2907999999925
fuzz_pt_d57880a9,Crash,1.0,4848,5,"Linear,MaxPool2d,ReLU,Flatten,Linear","[4, 28, 16, 16]",mat1 and mat2 shapes cannot be multiplied (1792x16 and 867x741),3619.3493000000103
fuzz_pt_e1e663c8,Crash,1.0,4654,6,"MaxPool2d,Conv2d,BatchNorm2d,BatchNorm2d,MaxPool2d,Conv2d","[1, 27, 128, 16]","Given groups=1, weight of size [27, 5, 3, 3], expected input[1, 27, 42, 5] to have 5 channels, but got 27 channels instead",3598.0761
fuzz_pt_30a52cb6,Crash,1.08,2296,2,"Conv2d,MaxPool2d","[64, 1727]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [64, 1727]",3549.738000000005
fuzz_pt_f974f59e,Crash,1.01,4517,5,"AvgPool2d,Conv2d,Linear,AvgPool2d,MaxPool2d","[1, 35, 256, 1024]","Given groups=1, weight of size [23, 51, 1, 1], expected input[1, 35, 85, 341] to have 51 channels, but got 35 channels instead",3792.872299999999
fuzz_pt_03f1a2a9,Crash,1.0,2809,3,"ReLU,Conv2d,AvgPool2d","[64, 1556]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [64, 1556]",3498.2345000000096
fuzz_pt_e67ad228,Crash,1.0,2771,2,"Linear,Conv2d","[256, 1589]",mat1 and mat2 shapes cannot be multiplied (256x1589 and 258x917),3617.460399999999
fuzz_pt_82db1680,Timeout,3316.62,1253,1,Flatten,"[256, 3618]",TimeoutError: Execution exceeded maximum allowed time (2s),3566.860300000002
fuzz_pt_59433688,Success,1737.24,3542,3,"MaxPool2d,MaxPool2d,MaxPool2d","[16, 9, 32, 1024]",,3520.270300000007
fuzz_pt_88e9d445,Crash,1.0,1559,1,Linear,"[64, 46, 64, 16]",mat1 and mat2 shapes cannot be multiplied (188416x16 and 174x726),7411.726099999995
fuzz_pt_47c1b830,Success,523.69,1451,1,Flatten,"[4, 5, 128, 1024]",,3513.793299999989
fuzz_pt_5a694aed,Crash,1.0,2612,3,"MaxPool2d,ReLU,Linear","[1, 9, 64, 128]",mat1 and mat2 shapes cannot be multiplied (288x64 and 1003x346),3537.326499999992
fuzz_pt_7a52feb4,Crash,1.0,3603,4,"Conv2d,AvgPool2d,Linear,MaxPool2d","[128, 26, 128, 1024]","Given groups=1, weight of size [29, 63, 1, 1], expected input[128, 26, 128, 1024] to have 63 channels, but got 26 channels instead",8686.629800000006
fuzz_pt_471032e1,Success,1.52,1671,1,ReLU,"[4, 56, 128, 32]",,3497.6184999999873
fuzz_pt_f44a2b8a,Success,1.0,1562,1,Flatten,"[64, 39, 16, 16]",,3746.9528000000028
fuzz_pt_bfd0d637,Crash,1.0,6209,6,"Linear,Linear,ReLU,Conv2d,Flatten,BatchNorm2d","[64, 10, 32, 64]",mat1 and mat2 shapes cannot be multiplied (20480x64 and 117x23),5361.45239999999
fuzz_pt_322d047a,Crash,1.0,3231,4,"MaxPool2d,Conv2d,AvgPool2d,ReLU","[1, 42, 16, 64]","Given groups=1, weight of size [4, 22, 5, 5], expected input[1, 42, 8, 32] to have 22 channels, but got 42 channels instead",3605.697399999997
fuzz_pt_b46cc5bd,Crash,3.01,2997,4,"ReLU,ReLU,AvgPool2d,Conv2d","[1, 54, 64, 1024]","Given groups=1, weight of size [49, 56, 5, 5], expected input[1, 54, 21, 341] to have 56 channels, but got 54 channels instead",3542.969599999992
fuzz_pt_4111fcaf,Crash,1.0,2134,2,"Linear,MaxPool2d","[16, 4, 32, 128]",mat1 and mat2 shapes cannot be multiplied (2048x128 and 385x551),3755.7780000000207
fuzz_pt_9fec4d58,Crash,1.0,2476,3,"Linear,BatchNorm2d,MaxPool2d","[128, 9, 256, 1024]",mat1 and mat2 shapes cannot be multiplied (294912x1024 and 486x67),6342.10379999999
fuzz_pt_f24e5e58,Crash,9.67,3036,6,"MaxPool2d,BatchNorm2d,AvgPool2d,MaxPool2d,BatchNorm2d,MaxPool2d","[64, 9, 256, 16]",running_mean should contain 9 elements not 1,3441.570400000018
fuzz_pt_89f08740,Crash,1.0,4094,5,"Linear,Flatten,BatchNorm2d,AvgPool2d,Flatten","[64, 1150]",mat1 and mat2 shapes cannot be multiplied (64x1150 and 802x496),3405.83860000001
fuzz_pt_7e1feb51,Crash,1.0,3287,6,"Linear,BatchNorm2d,Linear,BatchNorm2d,AvgPool2d,ReLU","[128, 38, 256, 256]",mat1 and mat2 shapes cannot be multiplied (1245184x256 and 601x441),15015.021799999999
fuzz_pt_eeaa0298,Success,1.0,2492,3,"AvgPool2d,AvgPool2d,AvgPool2d","[1, 22, 256, 32]",,3294.2268000000186
fuzz_pt_c60de524,Crash,1.0,1557,1,Conv2d,"[16, 27, 256, 16]","Given groups=1, weight of size [61, 22, 3, 3], expected input[16, 27, 256, 16] to have 22 channels, but got 27 channels instead",3659.601600000002
fuzz_pt_f820351a,Crash,1.0,4337,5,"Linear,ReLU,BatchNorm2d,Flatten,BatchNorm2d","[4, 25, 64, 32]",mat1 and mat2 shapes cannot be multiplied (6400x32 and 800x375),4074.990200000002
fuzz_pt_7ab46c6e,Crash,1.0,1260,1,Linear,"[128, 48, 16, 1024]",mat1 and mat2 shapes cannot be multiplied (98304x1024 and 794x542),7202.025500000019
fuzz_pt_e0bd3f10,Crash,1.0,5098,5,"Flatten,MaxPool2d,Linear,BatchNorm2d,Conv2d","[64, 2764]",non-empty 3D or 4D (batch mode) tensor expected for input,3337.1407000000204
fuzz_pt_fbf96ebf,Crash,1.0,2735,2,"Conv2d,Flatten","[1, 2340]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 2340]",3354.147600000005
fuzz_pt_e2c2b918,Crash,1.0,2907,3,"Conv2d,Conv2d,ReLU","[4, 22, 256, 32]","Given groups=1, weight of size [55, 13, 1, 1], expected input[4, 22, 256, 32] to have 13 channels, but got 22 channels instead",3610.689199999996
fuzz_pt_b112f5e7,Crash,2.58,1956,2,"ReLU,Conv2d","[16, 38, 16, 1024]","Given groups=1, weight of size [14, 45, 1, 1], expected input[16, 38, 16, 1024] to have 45 channels, but got 38 channels instead",4027.462899999989
fuzz_pt_22887741,Crash,1.55,1534,1,Linear,"[64, 36, 256, 1024]",mat1 and mat2 shapes cannot be multiplied (589824x1024 and 718x926),14754.788600000013
fuzz_pt_f1fd3e41,Crash,12.04,2644,3,"AvgPool2d,Conv2d,ReLU","[4, 59, 128, 1024]","Given groups=1, weight of size [56, 58, 5, 5], expected input[4, 59, 64, 512] to have 58 channels, but got 59 channels instead",3851.5384000000095
fuzz_pt_0e36335a,Success,4.86,3807,3,"MaxPool2d,AvgPool2d,Flatten","[128, 53, 16, 64]",,3793.2097999999996
fuzz_pt_ff02e0af,Crash,1.0,1152,1,BatchNorm2d,"[64, 1386]",expected 4D input (got 2D input),3497.336099999984
fuzz_pt_73b6be0f,Crash,1.0,4501,3,"Linear,BatchNorm2d,Linear","[128, 12, 32, 1024]",mat1 and mat2 shapes cannot be multiplied (49152x1024 and 321x95),5790.3943999999965
fuzz_pt_65b9102a,Crash,1.0,1886,3,"AvgPool2d,BatchNorm2d,AvgPool2d","[16, 8, 32, 16]",running_mean should contain 8 elements not 62,3551.2741000000005
fuzz_pt_63fee346,Crash,1.0,3913,4,"Conv2d,AvgPool2d,MaxPool2d,AvgPool2d","[4, 53, 256, 256]","Given groups=1, weight of size [52, 35, 1, 1], expected input[4, 53, 256, 256] to have 35 channels, but got 53 channels instead",4481.319499999983
fuzz_pt_46d8a419,Crash,1.0,2475,5,"MaxPool2d,BatchNorm2d,Linear,MaxPool2d,BatchNorm2d","[16, 671]",non-empty 3D or 4D (batch mode) tensor expected for input,3587.5381000000175
fuzz_pt_2b31c119,Crash,1.0,2093,2,"MaxPool2d,Linear","[4, 59, 16, 16]",mat1 and mat2 shapes cannot be multiplied (1180x5 and 448x226),3727.3079999999936
fuzz_pt_f2ae06db,Crash,1.0,4096,5,"ReLU,BatchNorm2d,Linear,Linear,Linear","[1, 1135]",expected 4D input (got 2D input),3703.2271999999866
fuzz_pt_21e14c94,Crash,39.92,3103,6,"AvgPool2d,AvgPool2d,ReLU,Flatten,Flatten,AvgPool2d","[64, 53, 256, 256]","Dimension out of range (expected to be in range of [-2, 1], but got -3)",4546.696399999973
fuzz_pt_a5e998c8,Crash,1.0,3620,5,"BatchNorm2d,Flatten,Flatten,BatchNorm2d,AvgPool2d","[16, 58, 256, 32]",running_mean should contain 58 elements not 5,3891.2308000000166
fuzz_pt_5acde2c5,Crash,45.96,2968,5,"AvgPool2d,BatchNorm2d,MaxPool2d,AvgPool2d,Conv2d","[64, 54, 1024, 64]",running_mean should contain 54 elements not 5,4863.4322999999995
fuzz_pt_6cc7ea69,Success,1.0,1985,1,ReLU,"[1, 9, 128, 128]",,3654.594300000042
fuzz_pt_da6036c6,Crash,1.0,4529,5,"AvgPool2d,BatchNorm2d,Linear,MaxPool2d,Flatten","[128, 21, 32, 64]",running_mean should contain 21 elements not 37,4741.430300000047
fuzz_pt_29f647ab,Success,756.73,3535,3,"MaxPool2d,ReLU,AvgPool2d","[16, 62, 64, 1024]",,3931.320900000003
fuzz_pt_8c16066d,Crash,1.0,2495,2,"Conv2d,Flatten","[1, 2779]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 2779]",3690.666599999986
fuzz_pt_19522a80,Crash,1.0,5347,6,"Linear,Flatten,Conv2d,MaxPool2d,BatchNorm2d,Conv2d","[128, 43, 256, 128]",mat1 and mat2 shapes cannot be multiplied (1409024x128 and 998x744),15016.150400000015
fuzz_pt_ddfcdad3,Crash,1.0,3193,4,"Linear,AvgPool2d,Conv2d,Conv2d","[1, 59, 32, 128]",mat1 and mat2 shapes cannot be multiplied (1888x128 and 329x300),4492.001999999957
fuzz_pt_6af38600,Crash,1.0,5392,4,"Linear,MaxPool2d,Conv2d,ReLU","[16, 2483]",mat1 and mat2 shapes cannot be multiplied (16x2483 and 852x93),3977.5051000000303
fuzz_pt_6e990b22,Crash,1.0,4439,6,"Flatten,BatchNorm2d,Linear,ReLU,MaxPool2d,ReLU","[1, 149]",expected 4D input (got 2D input),3787.1558999999593
fuzz_pt_3a56eb31,Crash,1.0,4095,3,"Conv2d,Linear,Conv2d","[64, 54, 32, 128]","Given groups=1, weight of size [29, 21, 5, 5], expected input[64, 54, 32, 128] to have 21 channels, but got 54 channels instead",15016.556699999966
fuzz_pt_fdeae0e3,Crash,332.97,1162,1,BatchNorm2d,Unallocatable,AllocationError: [enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 18790481920 bytes.,3656.6606000000093
fuzz_pt_a82fd17d,Crash,1.0,4013,4,"Flatten,Conv2d,MaxPool2d,Linear","[256, 3679]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [256, 3679]",3898.2450000000313
fuzz_pt_6f7b3c41,Timeout,2811.2,1590,1,ReLU,"[64, 29, 32, 1024]",TimeoutError: Execution exceeded maximum allowed time (2s),4025.9752999999705
fuzz_pt_85d033b4,Crash,50.92,3280,4,"MaxPool2d,ReLU,BatchNorm2d,BatchNorm2d","[64, 50, 64, 256]",running_mean should contain 50 elements not 5,4617.151299999989
fuzz_pt_9bdf5892,Crash,1.0,3267,4,"MaxPool2d,MaxPool2d,Conv2d,BatchNorm2d","[1, 11, 16, 64]","Given groups=1, weight of size [37, 25, 5, 5], expected input[1, 11, 2, 10] to have 25 channels, but got 11 channels instead",3394.2215000000147
fuzz_pt_afd522cb,Crash,1.0,3387,6,"Linear,AvgPool2d,ReLU,Flatten,Flatten,AvgPool2d","[256, 1231]",mat1 and mat2 shapes cannot be multiplied (256x1231 and 879x585),3456.7399000000023
fuzz_pt_e9b2fa75,Crash,1.0,3876,5,"AvgPool2d,BatchNorm2d,Conv2d,Conv2d,BatchNorm2d","[16, 1499]","Dimension out of range (expected to be in range of [-2, 1], but got -3)",3529.014899999993
fuzz_pt_e0b29ab4,Crash,1.0,3551,6,"Flatten,MaxPool2d,Flatten,Flatten,BatchNorm2d,BatchNorm2d","[64, 4063]",non-empty 3D or 4D (batch mode) tensor expected for input,3616.417200000001
fuzz_pt_acd6d145,Success,1.0,1389,1,ReLU,"[1, 27, 256, 64]",,3590.9446000000003
fuzz_pt_14ae8bc1,Crash,1.0,2430,4,"BatchNorm2d,AvgPool2d,MaxPool2d,Flatten","[16, 3022]",expected 4D input (got 2D input),3608.3491999999637
fuzz_pt_d695d50c,Crash,1.0,6388,6,"Conv2d,Conv2d,AvgPool2d,Flatten,Conv2d,AvgPool2d","[16, 1381]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [16, 1381]",3693.9386999999897
fuzz_pt_d144c923,Crash,1.0,3957,6,"MaxPool2d,MaxPool2d,ReLU,MaxPool2d,BatchNorm2d,BatchNorm2d","[16, 48, 16, 64]",Given input size: (48x1x7). Calculated output size: (48x0x2). Output size is too small,3712.1046999999976
fuzz_pt_1158d9d2,Crash,1.0,2068,1,Conv2d,"[16, 34, 32, 1024]","Given groups=1, weight of size [46, 21, 5, 5], expected input[16, 34, 32, 1024] to have 21 channels, but got 34 channels instead",4274.788599999965
fuzz_pt_21ebd8ea,Success,1.0,1536,1,Flatten,"[16, 3, 64, 128]",,3636.24980000003
fuzz_pt_bfbcc7c3,Crash,1.0,4649,5,"Linear,AvgPool2d,MaxPool2d,Flatten,MaxPool2d","[64, 63, 16, 256]",mat1 and mat2 shapes cannot be multiplied (64512x256 and 394x128),8864.139599999988
fuzz_pt_c5a9fb41,Crash,1.0,3682,5,"BatchNorm2d,Conv2d,AvgPool2d,MaxPool2d,BatchNorm2d","[128, 12, 32, 256]",running_mean should contain 12 elements not 29,4107.777999999997
fuzz_pt_c880e840,Crash,1.0,3314,3,"Conv2d,Linear,Linear","[16, 3517]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [16, 3517]",3592.2568999999953
fuzz_pt_dc11be98,Crash,1.0,5989,6,"AvgPool2d,AvgPool2d,Conv2d,Linear,MaxPool2d,Flatten","[128, 45, 16, 64]","Given groups=1, weight of size [61, 15, 3, 3], expected input[128, 45, 1, 7] to have 15 channels, but got 45 channels instead",4307.001700000001
fuzz_pt_0933310e,Crash,1.0,1297,1,BatchNorm2d,"[16, 42, 32, 64]",running_mean should contain 42 elements not 62,3769.7271000000114
fuzz_pt_bce0f2a3,Crash,1.0,3033,4,"Flatten,Linear,Flatten,AvgPool2d","[1, 26, 128, 256]",mat1 and mat2 shapes cannot be multiplied (1x851968 and 711x83),4343.9482
fuzz_pt_515349ef,Crash,1.0,4577,4,"Conv2d,Flatten,BatchNorm2d,ReLU","[4, 47, 128, 256]","Given groups=1, weight of size [64, 12, 1, 1], expected input[4, 47, 128, 256] to have 12 channels, but got 47 channels instead",4486.692699999992
fuzz_pt_681f107d,Crash,6.06,3440,5,"ReLU,ReLU,Flatten,ReLU,AvgPool2d","[16, 16, 1024, 32]","Dimension out of range (expected to be in range of [-2, 1], but got -3)",3838.1719000000203
fuzz_pt_35b40ced,Crash,1.0,9126,6,"ReLU,Conv2d,BatchNorm2d,Conv2d,Linear,Conv2d","[1, 2470]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 2470]",3715.4322000000093
fuzz_pt_1a5db858,Crash,1.0,941,1,MaxPool2d,"[256, 3331]",non-empty 3D or 4D (batch mode) tensor expected for input,3658.351200000027
fuzz_pt_90b0e847,Crash,1.0,4680,5,"Conv2d,ReLU,MaxPool2d,ReLU,Linear","[256, 318]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [256, 318]",3437.492500000019
fuzz_pt_0fd28360,Crash,1.0,4922,4,"Linear,BatchNorm2d,Flatten,Flatten","[16, 25, 256, 32]",mat1 and mat2 shapes cannot be multiplied (102400x32 and 977x237),4864.839700000004
fuzz_pt_adae4dd8,Crash,1.0,3967,6,"Conv2d,Flatten,BatchNorm2d,Conv2d,BatchNorm2d,Flatten","[1, 42, 128, 256]","Given groups=1, weight of size [56, 29, 5, 5], expected input[1, 42, 128, 256] to have 29 channels, but got 42 channels instead",3741.5304999999535
fuzz_pt_00cecaa5,Crash,1.0,892,1,BatchNorm2d,"[4, 25, 16, 64]",running_mean should contain 25 elements not 26,3616.1884999999643
fuzz_pt_b2292390,Crash,1.0,1300,2,"BatchNorm2d,ReLU","[256, 1362]",expected 4D input (got 2D input),3592.4946999999747
fuzz_pt_7a6be32f,Crash,2.11,3649,4,"MaxPool2d,Flatten,ReLU,Linear","[64, 15, 128, 16]",mat1 and mat2 shapes cannot be multiplied (64x7680 and 682x1002),3970.5756999999835
fuzz_pt_f3220d4d,Crash,1.0,2538,2,"Linear,BatchNorm2d","[16, 4, 256, 32]",mat1 and mat2 shapes cannot be multiplied (16384x32 and 243x947),3902.22829999999
fuzz_pt_d7e6d5db,Crash,1.0,3482,5,"BatchNorm2d,Flatten,AvgPool2d,Flatten,Conv2d","[4, 31, 32, 64]",running_mean should contain 31 elements not 4,3656.305800000041
