case_uid,status,execution_time_ms,edge_coverage,depth,operators,input_shape,error_message,physical_duration_ms
fuzz_pt_ae40488d,Crash,1.0,2761,4,"MaxPool2d,Flatten,Conv2d,Flatten","[1, 2305]",non-empty 3D or 4D (batch mode) tensor expected for input,3676.122399999997
fuzz_pt_dffffc4d,Crash,1.0,4046,4,"Conv2d,Flatten,Conv2d,Conv2d","[16, 3543]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [16, 3543]",3585.696799999994
fuzz_pt_22f85e41,Success,1.0,1979,2,"ReLU,ReLU","[1, 16, 64, 64]",,3667.1076000000085
fuzz_pt_9ddbe222,Crash,1.0,996,1,MaxPool2d,"[64, 3864]",non-empty 3D or 4D (batch mode) tensor expected for input,3561.015399999974
fuzz_pt_d668fdec,Crash,1.0,2945,4,"ReLU,ReLU,AvgPool2d,Conv2d","[1, 50000]","Dimension out of range (expected to be in range of [-2, 1], but got -3)",3708.3054999999945
fuzz_pt_8bce83b4,Crash,1.0,3197,6,"ReLU,MaxPool2d,MaxPool2d,Flatten,BatchNorm2d,AvgPool2d","[1, 50, 128, 64]",expected 4D input (got 2D input),3731.0223000000065
fuzz_pt_85199ac8,Crash,1.0,5208,5,"Flatten,Conv2d,Linear,MaxPool2d,ReLU","[1, 2303]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 2303]",3642.6185999999916
fuzz_pt_a2dc15b8,Crash,1.0,2042,1,Linear,"[16, 19, 16, 256]",mat1 and mat2 shapes cannot be multiplied (4864x256 and 448x461),4093.6590000000024
fuzz_pt_64520ca7,Crash,1.0,2694,2,"AvgPool2d,Linear","[64, 7, 256, 32]",mat1 and mat2 shapes cannot be multiplied (57344x16 and 418x485),4009.4397999999956
fuzz_pt_fae84337,Crash,4.12,3576,3,"AvgPool2d,ReLU,Conv2d","[1, 26, 64, 256]","Given groups=1, weight of size [56, 59, 1, 1], expected input[1, 26, 32, 128] to have 59 channels, but got 26 channels instead",3772.2580999999877
fuzz_pt_ea5fc72d,Crash,1.0,3977,4,"Flatten,Conv2d,Flatten,ReLU","[1, 9, 1024, 1024]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 9437184]",5855.348800000002
fuzz_pt_0a56504d,Crash,1.0,6309,5,"ReLU,Linear,AvgPool2d,BatchNorm2d,Linear","[64, 1313]",mat1 and mat2 shapes cannot be multiplied (64x1313 and 942x813),3872.478899999976
fuzz_pt_267d0c20,Crash,1.0,1988,1,Conv2d,"[128, 4, 128, 16]","Given groups=1, weight of size [31, 58, 1, 1], expected input[128, 4, 128, 16] to have 58 channels, but got 4 channels instead",3536.3671999999724
fuzz_pt_7e875fe7,Crash,26.6,2959,2,"MaxPool2d,Conv2d","[64, 38, 256, 64]","Given groups=1, weight of size [38, 50, 5, 5], expected input[64, 38, 128, 32] to have 50 channels, but got 38 channels instead",5207.473499999992
fuzz_pt_f5e0a64b,Crash,1.0,2483,2,"Conv2d,ReLU","[1, 2126]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 2126]",3264.5638999999846
fuzz_pt_71fad961,Crash,1.51,3092,3,"Conv2d,ReLU,MaxPool2d","[128, 46, 128, 32]","Given groups=1, weight of size [24, 59, 1, 1], expected input[128, 46, 128, 32] to have 59 channels, but got 46 channels instead",7557.311700000014
fuzz_pt_85ed462e,Crash,1.0,4614,6,"BatchNorm2d,Flatten,AvgPool2d,Linear,Conv2d,MaxPool2d","[16, 53, 256, 64]",running_mean should contain 53 elements not 2,3510.969400000022
fuzz_pt_b43951e6,Crash,1.0,4210,6,"BatchNorm2d,AvgPool2d,Flatten,BatchNorm2d,Conv2d,Linear","[64, 951]",expected 4D input (got 2D input),3269.1370000000006
fuzz_pt_84d25ba2,Crash,1.0,6036,4,"ReLU,Linear,Conv2d,AvgPool2d","[4, 9, 128, 1024]",mat1 and mat2 shapes cannot be multiplied (4608x1024 and 61x103),3810.5997000000116
fuzz_pt_cb9e3e6c,Crash,1.0,2065,2,"AvgPool2d,ReLU","[16, 1507]","Dimension out of range (expected to be in range of [-2, 1], but got -3)",3326.4454000000114
fuzz_pt_aa3475d3,Crash,1.0,2413,3,"AvgPool2d,Linear,AvgPool2d","[16, 1630]","Dimension out of range (expected to be in range of [-2, 1], but got -3)",3352.1207000000004
fuzz_pt_c6b8413b,Crash,1.0,4441,6,"ReLU,BatchNorm2d,ReLU,Conv2d,AvgPool2d,ReLU","[16, 10, 64, 64]",running_mean should contain 10 elements not 49,3459.873899999934
fuzz_pt_fa114d28,Crash,1.0,1352,2,"AvgPool2d,BatchNorm2d","[128, 1, 32, 32]",running_mean should contain 1 elements not 22,3316.7779000000337
fuzz_pt_bde45de1,Success,6.54,1959,1,MaxPool2d,"[64, 33, 256, 16]",,3704.427799999962
fuzz_pt_c014c82b,Crash,1.0,3942,5,"Linear,MaxPool2d,Flatten,Flatten,Linear","[16, 4077]",mat1 and mat2 shapes cannot be multiplied (16x4077 and 748x575),3602.1500000000515
fuzz_pt_b2bb952a,Crash,1.0,1395,2,"BatchNorm2d,AvgPool2d","[1, 58, 1024, 256]",running_mean should contain 58 elements not 62,3607.615399999986
fuzz_pt_cbe300e3,Crash,1.0,2851,4,"Conv2d,AvgPool2d,Conv2d,AvgPool2d","[64, 53, 1024, 128]","Given groups=1, weight of size [42, 38, 3, 3], expected input[64, 53, 1024, 128] to have 38 channels, but got 53 channels instead",15015.8596
fuzz_pt_652fef0b,Crash,1.0,4220,6,"Linear,Flatten,AvgPool2d,ReLU,BatchNorm2d,BatchNorm2d","[128, 9, 1024, 256]",mat1 and mat2 shapes cannot be multiplied (1179648x256 and 861x311),6683.5722000000715
fuzz_pt_2478233d,Crash,1.03,3765,3,"Linear,MaxPool2d,AvgPool2d","[64, 44, 128, 32]",mat1 and mat2 shapes cannot be multiplied (360448x32 and 408x56),11098.581999999966
fuzz_pt_a761d8ea,Crash,7.33,2608,3,"MaxPool2d,Flatten,AvgPool2d","[64, 63, 16, 128]","Dimension out of range (expected to be in range of [-2, 1], but got -3)",3924.2139000000407
fuzz_pt_e854e406,Crash,1.0,3900,4,"Conv2d,Flatten,BatchNorm2d,MaxPool2d","[4, 35, 128, 128]","Given groups=1, weight of size [12, 49, 3, 3], expected input[4, 35, 128, 128] to have 49 channels, but got 35 channels instead",3969.1733999999315
fuzz_pt_c71983f0,Success,24.1,1668,1,ReLU,"[64, 58, 256, 128]",,4483.434500000044
fuzz_pt_9fa799d1,Crash,1.0,1280,1,BatchNorm2d,"[1, 405]",expected 4D input (got 2D input),3337.258200000065
fuzz_pt_77e4a150,Crash,2.06,1631,2,"BatchNorm2d,Flatten","[64, 33, 32, 16]",running_mean should contain 33 elements not 55,3456.9031999999424
fuzz_pt_a06de75c,Crash,1.0,3217,5,"Flatten,AvgPool2d,MaxPool2d,AvgPool2d,Conv2d","[128, 4, 32, 32]","Dimension out of range (expected to be in range of [-2, 1], but got -3)",3614.2196000000695
fuzz_pt_829a936c,Success,1718.42,1383,1,ReLU,"[64, 16, 256, 1024]",,3833.1271000000697
fuzz_pt_97d1d054,Crash,1.0,1852,2,"Linear,BatchNorm2d","[64, 1840]",mat1 and mat2 shapes cannot be multiplied (64x1840 and 792x149),3599.750399999948
fuzz_pt_79779cc6,Crash,1.0,2857,2,"Flatten,Conv2d","[128, 28, 32, 64]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [128, 57344]",15016.316700000061
fuzz_pt_7a4f1155,Crash,1.03,4001,4,"MaxPool2d,ReLU,Linear,Linear","[1, 4, 16, 256]",mat1 and mat2 shapes cannot be multiplied (32x128 and 333x701),3603.6007000000154
fuzz_pt_615babad,Crash,1.0,2853,5,"Flatten,AvgPool2d,MaxPool2d,AvgPool2d,ReLU","[64, 578]","Dimension out of range (expected to be in range of [-2, 1], but got -3)",3664.2025999999532
fuzz_pt_6c9f00f1,Success,4.83,3493,4,"MaxPool2d,AvgPool2d,AvgPool2d,AvgPool2d","[128, 5, 128, 64]",,3641.212199999927
fuzz_pt_e0719eef,Crash,1.0,4001,5,"Conv2d,ReLU,ReLU,Flatten,AvgPool2d","[64, 3264]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [64, 3264]",3630.22490000003
fuzz_pt_d607c697,Crash,1.0,2042,2,"BatchNorm2d,AvgPool2d","[64, 2416]",expected 4D input (got 2D input),3500.3388999999743
fuzz_pt_b44b595d,Crash,1.0,5745,6,"Flatten,AvgPool2d,Conv2d,BatchNorm2d,AvgPool2d,Linear","[16, 16, 64, 32]","Dimension out of range (expected to be in range of [-2, 1], but got -3)",3279.0282999999363
fuzz_pt_14adb08c,Crash,469.55,3537,3,"MaxPool2d,Conv2d,AvgPool2d",Unallocatable,AllocationError: [enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 12884901888 bytes.,3269.460399999957
fuzz_pt_6db9a734,Crash,1.0,2197,5,"ReLU,ReLU,Flatten,Flatten,BatchNorm2d","[128, 4, 32, 32]",expected 4D input (got 2D input),3395.586299999991
fuzz_pt_0d27ef9f,Crash,20963.76,1582,4,"ReLU,ReLU,MaxPool2d,ReLU","[128, 45, 256, 1024]",[enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 6039797760 bytes.,4501.275400000054
fuzz_pt_46263682,Crash,1.27,3416,5,"Flatten,Flatten,ReLU,Flatten,Linear","[256, 3343]",mat1 and mat2 shapes cannot be multiplied (256x3343 and 30x26),3633.798899999988
fuzz_pt_458a65ed,Crash,1.0,6071,5,"ReLU,Conv2d,Flatten,AvgPool2d,Linear","[4, 31, 128, 16]","Given groups=1, weight of size [42, 62, 1, 1], expected input[4, 31, 128, 16] to have 62 channels, but got 31 channels instead",3701.5713999999207
fuzz_pt_b60ade12,Crash,9.5,5477,6,"AvgPool2d,Flatten,MaxPool2d,Linear,Conv2d,Conv2d","[1, 58, 1024, 1024]",non-empty 3D or 4D (batch mode) tensor expected for input,3637.9547999999886
fuzz_pt_78f8d687,Crash,1.0,1326,1,BatchNorm2d,"[4, 62, 1024, 16]",running_mean should contain 62 elements not 15,3640.1193000000376
fuzz_pt_2a4daaab,Crash,1.0,2295,3,"ReLU,ReLU,MaxPool2d","[64, 3278]",non-empty 3D or 4D (batch mode) tensor expected for input,3544.497099999944
fuzz_pt_32cad382,Crash,1.0,1078,1,AvgPool2d,"[256, 1725]","Dimension out of range (expected to be in range of [-2, 1], but got -3)",3402.3994000000357
fuzz_pt_759390c0,Crash,1.0,1308,2,"ReLU,BatchNorm2d","[1, 51, 64, 1024]",running_mean should contain 51 elements not 28,3328.734900000086
fuzz_pt_7b2f7569,Crash,1.0,2362,5,"MaxPool2d,Flatten,ReLU,ReLU,MaxPool2d","[256, 585]",non-empty 3D or 4D (batch mode) tensor expected for input,3610.649599999988
fuzz_pt_12c7a905,Crash,4.38,5673,6,"ReLU,Flatten,ReLU,MaxPool2d,AvgPool2d,Conv2d","[16, 62, 128, 64]",non-empty 3D or 4D (batch mode) tensor expected for input,3832.058800000027
fuzz_pt_72761e5c,Crash,1.0,5891,6,"BatchNorm2d,Linear,BatchNorm2d,Flatten,ReLU,Conv2d","[256, 1953]",expected 4D input (got 2D input),3570.527900000002
fuzz_pt_fcb26fb5,Crash,43.23,3057,2,"AvgPool2d,Linear","[16, 21, 1024, 1024]",mat1 and mat2 shapes cannot be multiplied (114576x341 and 924x902),4254.565700000057
fuzz_pt_ffb718ab,Crash,1.0,1961,1,Conv2d,"[16, 2224]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [16, 2224]",3590.284600000018
fuzz_pt_cd685117,Crash,1.01,2834,2,"Conv2d,MaxPool2d","[4, 64, 256, 16]","Given groups=1, weight of size [27, 57, 1, 1], expected input[4, 64, 256, 16] to have 57 channels, but got 64 channels instead",3831.1588999999913
fuzz_pt_e75dd672,Crash,1.59,2201,3,"AvgPool2d,Flatten,MaxPool2d","[128, 36, 16, 64]",non-empty 3D or 4D (batch mode) tensor expected for input,3678.9618999999902
fuzz_pt_88626cf9,Timeout,2994.39,1409,1,ReLU,"[4, 23, 32, 256]",TimeoutError: Execution exceeded maximum allowed time (2s),3633.4868000000142
fuzz_pt_8dfc2b67,Crash,1.0,4599,5,"Conv2d,Conv2d,BatchNorm2d,AvgPool2d,BatchNorm2d","[16, 57, 16, 128]","Given groups=1, weight of size [14, 52, 1, 1], expected input[16, 57, 16, 128] to have 52 channels, but got 57 channels instead",4965.959600000019
fuzz_pt_5d718e62,Crash,1.0,886,1,BatchNorm2d,"[1, 223]",expected 4D input (got 2D input),3598.682599999961
fuzz_pt_a1ab0538,Success,1.0,2554,2,"AvgPool2d,Flatten","[64, 33, 16, 16]",,3615.645400000062
fuzz_pt_a77b4442,Crash,1.0,4074,5,"AvgPool2d,AvgPool2d,BatchNorm2d,BatchNorm2d,Conv2d","[1, 29, 256, 128]",running_mean should contain 29 elements not 51,3605.3578000000925
fuzz_pt_5b280c45,Crash,1.0,3253,6,"Flatten,ReLU,BatchNorm2d,BatchNorm2d,Flatten,BatchNorm2d","[256, 1205]",expected 4D input (got 2D input),3582.345999999916
fuzz_pt_394f12e6,Crash,1.0,2071,2,"MaxPool2d,BatchNorm2d","[4, 36, 16, 64]",running_mean should contain 36 elements not 38,3631.8810000000212
fuzz_pt_014dec71,Crash,1.0,2190,4,"AvgPool2d,BatchNorm2d,AvgPool2d,BatchNorm2d","[4, 52, 16, 32]",running_mean should contain 52 elements not 39,3617.4680000000308
fuzz_pt_c287d7c8,Crash,1.0,3213,4,"ReLU,AvgPool2d,MaxPool2d,Linear","[1, 2341]","Dimension out of range (expected to be in range of [-2, 1], but got -3)",3581.1674000000266
fuzz_pt_b3aaa711,Crash,3.35,5527,5,"Flatten,ReLU,ReLU,Conv2d,Conv2d","[128, 52, 32, 32]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [128, 53248]",15016.163300000017
fuzz_pt_936f5345,Crash,1.0,3664,5,"Linear,ReLU,Flatten,Flatten,Linear","[1, 30, 16, 16]",mat1 and mat2 shapes cannot be multiplied (480x16 and 705x667),3678.788700000041
fuzz_pt_49a09a9c,Crash,2.01,4333,5,"Linear,AvgPool2d,MaxPool2d,Conv2d,MaxPool2d","[1, 11, 256, 256]",mat1 and mat2 shapes cannot be multiplied (2816x256 and 631x544),3670.4314999999497
fuzz_pt_b7b501b7,Crash,1.0,4194,3,"AvgPool2d,Linear,Flatten","[64, 2588]","Dimension out of range (expected to be in range of [-2, 1], but got -3)",3328.694799999994
fuzz_pt_4e3975c8,Crash,1.0,1510,1,Linear,"[64, 48, 64, 16]",mat1 and mat2 shapes cannot be multiplied (196608x16 and 573x154),7521.533299999987
fuzz_pt_042a232f,Crash,1.0,2385,3,"ReLU,Flatten,BatchNorm2d","[16, 10, 32, 16]",expected 4D input (got 2D input),3647.407899999962
fuzz_pt_36ee25e3,Crash,1.0,4150,3,"Linear,Linear,BatchNorm2d","[1, 2409]",mat1 and mat2 shapes cannot be multiplied (1x2409 and 72x549),3592.1349999999848
fuzz_pt_9ba16bf9,Crash,1.0,1742,2,"AvgPool2d,Conv2d","[16, 5, 32, 32]","Given groups=1, weight of size [63, 45, 3, 3], expected input[16, 5, 16, 16] to have 45 channels, but got 5 channels instead",3634.6050999999306
fuzz_pt_f53aa8e0,Crash,1.01,4771,5,"Linear,Conv2d,AvgPool2d,AvgPool2d,ReLU","[64, 63, 1024, 64]",mat1 and mat2 shapes cannot be multiplied (4128768x64 and 429x642),15016.21929999999
fuzz_pt_1c83c344,Crash,1.0,5247,6,"MaxPool2d,Linear,Conv2d,AvgPool2d,Conv2d,BatchNorm2d","[4, 11, 32, 32]",mat1 and mat2 shapes cannot be multiplied (704x16 and 116x511),3658.554499999923
fuzz_pt_cd12946b,Crash,1.0,4176,5,"Linear,BatchNorm2d,MaxPool2d,Linear,MaxPool2d","[1, 1705]",mat1 and mat2 shapes cannot be multiplied (1x1705 and 687x596),3568.4687000000395
fuzz_pt_c76bd4df,Crash,1.0,5665,6,"AvgPool2d,MaxPool2d,MaxPool2d,Conv2d,Conv2d,Conv2d","[1, 4018]","Dimension out of range (expected to be in range of [-2, 1], but got -3)",3600.864300000012
fuzz_pt_fb1862fd,Crash,1.0,4863,6,"Conv2d,MaxPool2d,Flatten,Flatten,AvgPool2d,Flatten","[256, 3776]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [256, 3776]",3480.4761999999982
fuzz_pt_92c6491a,Crash,1.0,8175,6,"BatchNorm2d,Conv2d,Conv2d,BatchNorm2d,Linear,Linear","[128, 19, 256, 1024]",running_mean should contain 19 elements not 54,13290.986200000021
fuzz_pt_9f421e9c,Crash,1.0,1790,2,"BatchNorm2d,Flatten","[64, 659]",expected 4D input (got 2D input),3586.610700000051
fuzz_pt_20efb1de,Crash,1.0,2359,5,"Flatten,MaxPool2d,Flatten,ReLU,ReLU","[128, 18, 256, 16]",non-empty 3D or 4D (batch mode) tensor expected for input,3655.756599999904
fuzz_pt_066c0fee,Crash,1.0,3030,5,"BatchNorm2d,BatchNorm2d,BatchNorm2d,Conv2d,Conv2d","[16, 16, 256, 16]",running_mean should contain 16 elements not 21,3844.688900000051
fuzz_pt_bf374b0c,Crash,3.15,2423,3,"ReLU,MaxPool2d,BatchNorm2d","[16, 30, 128, 32]",running_mean should contain 30 elements not 60,3723.5709999999926
fuzz_pt_52f5bc0c,Crash,1.0,2278,2,"Linear,Linear","[4, 58, 64, 16]",mat1 and mat2 shapes cannot be multiplied (14848x16 and 859x900),4333.900100000051
fuzz_pt_79fcbcf2,Crash,1.0,2741,4,"ReLU,ReLU,BatchNorm2d,Conv2d","[16, 45, 64, 16]",running_mean should contain 45 elements not 27,4353.8637000000335
fuzz_pt_cb876792,Crash,1.0,5382,5,"AvgPool2d,Conv2d,Linear,BatchNorm2d,Flatten","[4, 56, 64, 32]","Given groups=1, weight of size [44, 15, 3, 3], expected input[4, 56, 32, 16] to have 15 channels, but got 56 channels instead",4024.2854000000534
fuzz_pt_0591deb6,Crash,1.0,884,1,MaxPool2d,"[1, 2499]",non-empty 3D or 4D (batch mode) tensor expected for input,3597.3513999999795
fuzz_pt_31db6c10,Crash,1.0,4908,6,"Linear,Conv2d,Flatten,Conv2d,Flatten,Conv2d","[4, 10, 1024, 64]",mat1 and mat2 shapes cannot be multiplied (40960x64 and 15x111),3867.86369999993
fuzz_pt_b1c832b6,Crash,1.0,3754,3,"Conv2d,BatchNorm2d,Flatten","[1, 2131]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 2131]",3289.456300000097
fuzz_pt_879010df,Crash,1.0,2624,3,"Flatten,MaxPool2d,BatchNorm2d","[16, 26, 64, 1024]",non-empty 3D or 4D (batch mode) tensor expected for input,3364.395899999977
fuzz_pt_bf664901,Crash,1.0,4321,4,"ReLU,BatchNorm2d,Linear,MaxPool2d","[256, 888]",expected 4D input (got 2D input),3418.5707999999977
fuzz_pt_a3c37a5d,Crash,1.0,5903,6,"AvgPool2d,Linear,ReLU,Linear,Conv2d,Linear","[4, 5, 16, 16]",mat1 and mat2 shapes cannot be multiplied (100x5 and 257x446),3602.4601000000303
fuzz_pt_bddd1fce,Success,1.52,2015,1,AvgPool2d,"[128, 63, 32, 16]",,3752.9581000000007
fuzz_pt_f0f51eb6,Crash,1.0,2107,2,"Conv2d,Flatten","[1, 56, 256, 32]","Given groups=1, weight of size [46, 15, 5, 5], expected input[1, 56, 256, 32] to have 15 channels, but got 56 channels instead",3710.0399999999354
fuzz_pt_8832ae4e,Crash,1.0,2773,3,"Linear,Linear,Flatten","[16, 2360]",mat1 and mat2 shapes cannot be multiplied (16x2360 and 720x116),3571.0489000000507
fuzz_pt_2d651361,Crash,1.0,2146,4,"BatchNorm2d,AvgPool2d,BatchNorm2d,AvgPool2d","[4, 28, 1024, 64]",running_mean should contain 28 elements not 9,3687.037900000064
